TMA Slide 1 | 002 | Segment 1	TMA Slide 1 | 002 | Segment 2	TMA Slide 1 | 003 | Segment 1	TMA Slide 1 | 003 | Segment 2	TMA Slide 1 | 004 | Segment 1	TMA Slide 1 | 004 | Segment 2	TMA Slide 1 | 005 | Segment 1	TMA Slide 1 | 005 | Segment 2	TMA Slide 1 | 006 | Segment 1	TMA Slide 1 | 006 | Segment 2	TMA Slide 1 | 007 | Segment 1	TMA Slide 1 | 007 | Segment 2	TMA Slide 1 | 008 | Segment 1	TMA Slide 1 | 008 | Segment 2	TMA Slide 1 | 009 | Segment 1	TMA Slide 1 | 009 | Segment 2	TMA Slide 1 | 010 | Segment 1	TMA Slide 1 | 010 | Segment 2	TMA Slide 1 | 011 | Segment 1	TMA Slide 1 | 011 | Segment 2	TMA Slide 1 | 012 | Segment 1	TMA Slide 1 | 012 | Segment 2	TMA Slide 1 | 013 | Segment 1	TMA Slide 1 | 013 | Segment 2	TMA Slide 1 | 014 | Segment 1	TMA Slide 1 | 014 | Segment 2	TMA Slide 1 | 015 | Segment 1	TMA Slide 1 | 015 | Segment 2	TMA Slide 1 | 016 | Segment 1	TMA Slide 1 | 016 | Segment 2	TMA Slide 1 | 017 | Segment 1	TMA Slide 1 | 017 | Segment 2	TMA Slide 1 | 018 | Segment 1	TMA Slide 1 | 018 | Segment 2	TMA Slide 1 | 019 | Segment 1	TMA Slide 1 | 019 | Segment 2	TMA Slide 1 | 020 | Segment 1	TMA Slide 1 | 020 | Segment 2	TMA Slide 1 | 021 | Segment 1	TMA Slide 1 | 021 | Segment 2	TMA Slide 1 | 022 | Segment 1	TMA Slide 1 | 022 | Segment 2	TMA Slide 1 | 023 | Segment 1	TMA Slide 1 | 023 | Segment 2	TMA Slide 1 | 024 | Segment 1	TMA Slide 1 | 024 | Segment 2	TMA Slide 1 | 025 | Segment 1	TMA Slide 1 | 025 | Segment 2	TMA Slide 1 | 026 | Segment 1	TMA Slide 1 | 026 | Segment 2	TMA Slide 1 | 027 | Segment 1	TMA Slide 1 | 027 | Segment 2	TMA Slide 1 | 028 | Segment 1	TMA Slide 1 | 028 | Segment 2	TMA Slide 1 | 029 | Segment 1	TMA Slide 1 | 029 | Segment 2	TMA Slide 1 | 030 | Segment 1	TMA Slide 1 | 030 | Segment 2	TMA Slide 1 | 031 | Segment 1	TMA Slide 1 | 031 | Segment 2	TMA Slide 1 | 032 | Segment 1	TMA Slide 1 | 032 | Segment 2	TMA Slide 1 | 033 | Segment 1	TMA Slide 1 | 033 | Segment 2	TMA Slide 1 | 034 | Segment 1	TMA Slide 1 | 034 | Segment 2	TMA Slide 1 | 035 | Segment 1	TMA Slide 1 | 035 | Segment 2	TMA Slide 1 | 036 | Segment 1	TMA Slide 1 | 036 | Segment 2	TMA Slide 1 | 037 | Segment 1	TMA Slide 1 | 037 | Segment 2	TMA Slide 1 | 038 | Segment 1	TMA Slide 1 | 038 | Segment 2	TMA Slide 1 | 039 | Segment 1	TMA Slide 1 | 039 | Segment 2	TMA Slide 1 | 040 | Segment 1	TMA Slide 1 | 040 | Segment 2	TMA Slide 2 | 009 | Segment 1	TMA Slide 2 | 009 | Segment 2	TMA Slide 2 | 010 | Segment 1	TMA Slide 2 | 010 | Segment 2	TMA Slide 2 | 015 | Segment 1	TMA Slide 2 | 015 | Segment 2	TMA Slide 2 | 016 | Segment 1	TMA Slide 2 | 016 | Segment 2	TMA Slide 2 | 017 | Segment 1	TMA Slide 2 | 017 | Segment 2	TMA Slide 2 | 018 | Segment 1	TMA Slide 2 | 018 | Segment 2	TMA Slide 2 | 019 | Segment 1	TMA Slide 2 | 019 | Segment 2	TMA Slide 2 | 020 | Segment 1	TMA Slide 2 | 020 | Segment 2	TMA Slide 2 | 024 | Segment 1	TMA Slide 2 | 024 | Segment 2	TMA Slide 2 | 025 | Segment 1	TMA Slide 2 | 025 | Segment 2	TMA Slide 2 | 038 | Segment 1	TMA Slide 2 | 038 | Segment 2	TMA Slide 2 | 039 | Segment 1	TMA Slide 2 | 039 | Segment 2	TMA Slide 2 | 042 | Segment 1	TMA Slide 2 | 042 | Segment 2	TMA Slide 2 | 043 | Segment 1	TMA Slide 2 | 043 | Segment 2	TMA Slide 2 | 055 | Segment 1	TMA Slide 2 | 055 | Segment 2	TMA Slide 2 | 056 | Segment 1	TMA Slide 2 | 056 | Segment 2	TMA Slide 2 | 058 | Segment 1	TMA Slide 2 | 058 | Segment 2
Endothelial.ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial.RGS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138409689893038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112164060734814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial.CXCL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAFs.MSC.iCAF-like.s1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111401982616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263114638351627	0	0	0	0.0122688873793924
CAFs.MSC.iCAF-like.s2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00976648915775685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000224057659876267	0	0	0	0	0	0	0	0	0	0	0	0
CAFs.Transitioning.s3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19567123512212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAFs.myCAF.like.s4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323649255111238	0	0.054522563632855	0	0	0	0.0254893546399946	0	0	0	0	0	0.0939988775755816	0	0	0	0.0178217998637567	0	0.039011904263904	0	0
CAFs.myCAF.like.s5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447649044136599	0	0	0	0	0	0	0	0	0	0
PVL.Differentiated.s3	0	0	0	0	0	0.0363392072957417	0	0	0	0	0	0	0	0	0	0	0	0.115823277374798	0	0.0404567231297077	0	0.0139831289316867	0	0	0	0	0	0	0	0	0.0272006601240466	0	0	0.0799240349978493	0	0.082312541207515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0696956513889753	0	0	0	0	0	0.0172836177222797	0	0	0	0	0	0	0	0	0	0.0248409009982223	0	0	0	0	0	0.0113358467964136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0540857826778408	0	0.0361698304266081	0	0.0214082928326547	0	0	0	0	0	0	0	0.0747736457879408
PVL_Immature.s2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00918680687718597	0	0	0	0	0	0	0	0	0	0	0
PVL.Immature.s1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0641262110743459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474169299850101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313242986347747	0.0239311693293239	0.0348232533305403	0	0	0	0	0	0	0	0	0	0
Endothelial.Lymphatic.LYVE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018784721339803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373113462853209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B.cells.Memory	0.000344522019281802	0	0	0.19181818553647	0	0.0840931085153306	0.062105216977073	0	0.0670339435674901	0.165253800595235	0.116169537346401	0.180560212115924	0.0441667597646459	0	0.000621388402357449	0.0371232063082415	0	0.146714205518262	0.0486566241750224	0.0529626066683679	0	0.0137244382113341	0.0224099543916	0.0564507220290672	0	0	0	0	0.0649516764407219	0.0623414959968673	0	0.0156142361404582	0.130389755670543	0.112224472791795	0.0933466823831423	0.000766704419643032	0.0683564519107634	0	0	0	0.0398270857495738	0	0	0	0	0	0	0	0.134274075508209	0.131278281233346	0.0437382427578053	0.0544006416054267	0.0667003132918427	0.036855559564895	0.0135244798257183	0.0630472708711599	0.0656545351698255	0.141270876653491	0.0328180542178509	0.0486897000025727	0.0612274283955437	0.122899611403833	0.109770956189772	0.197342181849175	0.0474432484105696	0	0	0	0	0	0	0	0	0.145786218667851	0	0	0	0	0	0.0148052480311727	0	0	0	0	0	0	0.0724942273278087	0	0.029860483297902	0.020858583509067	0.0305586515833384	0.122813121572544	0	0.042598888533262	0	0.0426068164127762	0	0.0181028556877844	0.0756215046070221	0	0	0.108123521714785	0	0.115257816863185	0	0.0136531584732786	0.065562722879233	0.138191396588885	0.0167273085504302	0.0265494136676053	0.0131933423321882	0.178695178292442
B.cells.Naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238567317834235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_c4_CD8+_ZFP36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_c6_IFIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0421645374855666	0.226759910620574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
