TMA Slide 1 | 002 | Segment 1	TMA Slide 1 | 002 | Segment 2	TMA Slide 1 | 003 | Segment 1	TMA Slide 1 | 003 | Segment 2	TMA Slide 1 | 004 | Segment 1	TMA Slide 1 | 004 | Segment 2	TMA Slide 1 | 005 | Segment 1	TMA Slide 1 | 005 | Segment 2	TMA Slide 1 | 006 | Segment 1	TMA Slide 1 | 006 | Segment 2	TMA Slide 1 | 007 | Segment 1	TMA Slide 1 | 007 | Segment 2	TMA Slide 1 | 008 | Segment 1	TMA Slide 1 | 008 | Segment 2	TMA Slide 1 | 009 | Segment 1	TMA Slide 1 | 009 | Segment 2	TMA Slide 1 | 010 | Segment 1	TMA Slide 1 | 010 | Segment 2	TMA Slide 1 | 011 | Segment 1	TMA Slide 1 | 011 | Segment 2	TMA Slide 1 | 012 | Segment 1	TMA Slide 1 | 012 | Segment 2	TMA Slide 1 | 013 | Segment 1	TMA Slide 1 | 013 | Segment 2	TMA Slide 1 | 014 | Segment 1	TMA Slide 1 | 014 | Segment 2	TMA Slide 1 | 015 | Segment 1	TMA Slide 1 | 015 | Segment 2	TMA Slide 1 | 016 | Segment 1	TMA Slide 1 | 016 | Segment 2	TMA Slide 1 | 017 | Segment 1	TMA Slide 1 | 017 | Segment 2	TMA Slide 1 | 018 | Segment 1	TMA Slide 1 | 018 | Segment 2	TMA Slide 1 | 019 | Segment 1	TMA Slide 1 | 019 | Segment 2	TMA Slide 1 | 020 | Segment 1	TMA Slide 1 | 020 | Segment 2	TMA Slide 1 | 021 | Segment 1	TMA Slide 1 | 021 | Segment 2	TMA Slide 1 | 022 | Segment 1	TMA Slide 1 | 022 | Segment 2	TMA Slide 1 | 023 | Segment 1	TMA Slide 1 | 023 | Segment 2	TMA Slide 1 | 024 | Segment 1	TMA Slide 1 | 024 | Segment 2	TMA Slide 1 | 025 | Segment 1	TMA Slide 1 | 025 | Segment 2	TMA Slide 1 | 026 | Segment 1	TMA Slide 1 | 026 | Segment 2	TMA Slide 1 | 027 | Segment 1	TMA Slide 1 | 027 | Segment 2	TMA Slide 1 | 028 | Segment 1	TMA Slide 1 | 028 | Segment 2	TMA Slide 1 | 029 | Segment 1	TMA Slide 1 | 029 | Segment 2	TMA Slide 1 | 030 | Segment 1	TMA Slide 1 | 030 | Segment 2	TMA Slide 1 | 031 | Segment 1	TMA Slide 1 | 031 | Segment 2	TMA Slide 1 | 032 | Segment 1	TMA Slide 1 | 032 | Segment 2	TMA Slide 1 | 033 | Segment 1	TMA Slide 1 | 033 | Segment 2	TMA Slide 1 | 034 | Segment 1	TMA Slide 1 | 034 | Segment 2	TMA Slide 1 | 035 | Segment 1	TMA Slide 1 | 035 | Segment 2	TMA Slide 1 | 036 | Segment 1	TMA Slide 1 | 036 | Segment 2	TMA Slide 1 | 037 | Segment 1	TMA Slide 1 | 037 | Segment 2	TMA Slide 1 | 038 | Segment 1	TMA Slide 1 | 038 | Segment 2	TMA Slide 1 | 039 | Segment 1	TMA Slide 1 | 039 | Segment 2	TMA Slide 1 | 040 | Segment 1	TMA Slide 1 | 040 | Segment 2	TMA Slide 2 | 009 | Segment 1	TMA Slide 2 | 009 | Segment 2	TMA Slide 2 | 010 | Segment 1	TMA Slide 2 | 010 | Segment 2	TMA Slide 2 | 015 | Segment 1	TMA Slide 2 | 015 | Segment 2	TMA Slide 2 | 016 | Segment 1	TMA Slide 2 | 016 | Segment 2	TMA Slide 2 | 017 | Segment 1	TMA Slide 2 | 017 | Segment 2	TMA Slide 2 | 018 | Segment 1	TMA Slide 2 | 018 | Segment 2	TMA Slide 2 | 019 | Segment 1	TMA Slide 2 | 019 | Segment 2	TMA Slide 2 | 020 | Segment 1	TMA Slide 2 | 020 | Segment 2	TMA Slide 2 | 024 | Segment 1	TMA Slide 2 | 024 | Segment 2	TMA Slide 2 | 025 | Segment 1	TMA Slide 2 | 025 | Segment 2	TMA Slide 2 | 038 | Segment 1	TMA Slide 2 | 038 | Segment 2	TMA Slide 2 | 039 | Segment 1	TMA Slide 2 | 039 | Segment 2	TMA Slide 2 | 042 | Segment 1	TMA Slide 2 | 042 | Segment 2	TMA Slide 2 | 043 | Segment 1	TMA Slide 2 | 043 | Segment 2	TMA Slide 2 | 055 | Segment 1	TMA Slide 2 | 055 | Segment 2	TMA Slide 2 | 056 | Segment 1	TMA Slide 2 | 056 | Segment 2	TMA Slide 2 | 058 | Segment 1	TMA Slide 2 | 058 | Segment 2
macrophages	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612606023225409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068454350865483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B.naive	0.12180982700869	0.180304048966487	0.0121987259463766	0.452661653798503	0.168806995696376	0.200324898167394	0	0	0.0535831755199923	0.485358676912414	0	0.478017503894605	0	0.0621260451207734	0.0282540701692899	0	0.397466250421127	0	0	0.0755625419964092	0	0	0.11858327017637	0.263063517938446	0.00282338657658958	0.0411103828282585	0.105686965158816	0	0.00392626825799544	0	0.106883199806759	0	0.24771476774438	0.47932760560867	0.17093201036559	0.709073378153032	0.180515865250978	0	0	0	0.151336019693062	0	0	0	0	0.102944224322644	0	0	0.238495528801608	0	0	0	0.155731157268113	0	0.118782621732601	0.0478229613081516	0.206097349613451	0.214605558785089	0.376559122663083	0.0735038772014681	0.0593533311042458	0.0210973192419653	0.252284266226719	0	0.177966460343274	0.0181286291055962	0.408975304744733	0	0	0.422299638744447	0.0181790530174409	0.221577917956063	0	0.0671652801708018	0	0.167462222301507	0	0	0	0.0216847495013639	0	0	0	0.274069164233385	0	0.168076642243864	0	0	0	0	0.124663013474466	0.135329604283732	0.091576863651531	0	0	0.283462463508498	0.0247112231434237	0.148848907543131	0	0.130861406142091	0	0.0631566768277635	0.28986103238108	0.0527534703188043	0	0	0.0126736523707858	0.159101927543613	0	0.0200503588736686	0.0617571944387695	0.260291189201079
B.memory	0	0	0	0	0	0	0	0	0	0	0	0	0.0104470115195664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499198765422075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T.CD4.naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297225225234154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T.CD4.memory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T.CD8.naive	0	0	0	0	0.246785973287613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368181615182932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152354148663122	0	0.217375410783811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35091587233538	0	0	0	0	0.0692679514347879	0	0	0	0	0	0	0	0	0	0	0	0	0.256570576758526	0.161807564593633	0	0	0	0	0	0	0
T.CD8.memory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452559425644855	0.138993501481762	0	0	0	0	0	0	0	0.0146753332569963	0	0.120671851998528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217948383505526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160438859218668
NK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0671913206596671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0479417755164098	0	0	0	0	0	0	0	0	0	0
