TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	GeneID
LRRC70	LRRC70	All Targets	RNA	Endogenous	01	100130733
CHMP3	CHMP3	All Targets	RNA	Endogenous	01	51652
KANK4	KANK4	All Targets	RNA	Endogenous	01	163782
KRTAP19-1	KRTAP19-3,KRTAP19-1,KRTAP19-7,KRTAP19-4,KRTAP19-5	All Targets	RNA	Endogenous	01	337970
SCG2	SCG2	All Targets	RNA	Endogenous	01	7857
TAF6	TAF6	All Targets	RNA	Endogenous	01	6878
SUGP2	SUGP2	All Targets	RNA	Endogenous	01	10147
CMTM2	CMTM2	All Targets	RNA	Endogenous	01	146225
C8B	C8B	All Targets	RNA	Endogenous	01	732
BID	BID	All Targets	RNA	Endogenous	01	637
TBX19	TBX19	All Targets	RNA	Endogenous	01	9095
OR52E6	OR52E6	All Targets	RNA	Endogenous	01	390078
GCNA	GCNA	All Targets	RNA	Endogenous	01	93953
CUL4B	CUL4B	All Targets	RNA	Endogenous	01	8450
TRPC7	TRPC7	All Targets	RNA	Endogenous	01	57113
CD109	CD109	All Targets	RNA	Endogenous	01	135228
FIGN	FIGN	All Targets	RNA	Endogenous	01	55137
RP2	RP2	All Targets	RNA	Endogenous	01	6102
DHDH	DHDH	All Targets	RNA	Endogenous	01	27294
PKHD1L1	PKHD1L1	All Targets	RNA	Endogenous	01	93035
PIWIL4	PIWIL4	All Targets	RNA	Endogenous	01	143689
SMPD1	SMPD1	All Targets	RNA	Endogenous	01	6609
C1QTNF12	C1QTNF12	All Targets	RNA	Endogenous	01	388581
MYG1	MYG1	All Targets	RNA	Endogenous	01	60314
ZNF337	ZNF337	All Targets	RNA	Endogenous	01	26152
CCDC185	CCDC185	All Targets	RNA	Endogenous	01	164127
C1orf112	C1orf112	All Targets	RNA	Endogenous	01	55732
SLCO1B3	SLCO1B3	All Targets	RNA	Endogenous	01	28234
CRYGB	CRYGB	All Targets	RNA	Endogenous	01	1419
MYO9B	MYO9B	All Targets	RNA	Endogenous	01	4650
CSN1S1	CSN1S1	All Targets	RNA	Endogenous	01	1446
SPEN	SPEN	All Targets	RNA	Endogenous	01	23013
NR2E3	NR2E3	All Targets	RNA	Endogenous	01	10002
POMGNT1	POMGNT1	All Targets	RNA	Endogenous	01	55624
BRD1	BRD1	All Targets	RNA	Endogenous	01	23774
RBM18	RBM18	All Targets	RNA	Endogenous	01	92400
CCER2	CCER2	All Targets	RNA	Endogenous	01	643669
NARS1	NARS1	All Targets	RNA	Endogenous	01	4677
RPL37	RPL37	All Targets	RNA	Endogenous	01	6167
ZNF460	ZNF460	All Targets	RNA	Endogenous	01	10794
ID2	ID2	All Targets	RNA	Endogenous	01	3398
NUAK1	NUAK1	All Targets	RNA	Endogenous	01	9891
THOC1	THOC1	All Targets	RNA	Endogenous	01	9984
SEC31A	SEC31A	All Targets	RNA	Endogenous	01	22872
PNMA6F	PNMA6F	All Targets	RNA	Endogenous	01	105373377
FBXW9	FBXW9	All Targets	RNA	Endogenous	01	84261
TTC6	TTC6	All Targets	RNA	Endogenous	01	319089
ATF7IP	ATF7IP	All Targets	RNA	Endogenous	01	55729
MYL9	MYL9	All Targets	RNA	Endogenous	01	10398
DEPDC7	DEPDC7	All Targets	RNA	Endogenous	01	91614
PHLDB1	PHLDB1	All Targets	RNA	Endogenous	01	23187
KRTAP2-3	KRTAP2-3	All Targets	RNA	Endogenous	01	730755
RIPOR3	RIPOR3	All Targets	RNA	Endogenous	01	140876
SUMO1	SUMO1,SUMO1P3,SUMO1P1	All Targets	RNA	Endogenous	01	7341
BTNL3	BTNL3	All Targets	RNA	Endogenous	01	10917
FGD5	FGD5	All Targets	RNA	Endogenous	01	152273
PLD4	PLD4	All Targets	RNA	Endogenous	01	122618
ENTPD6	ENTPD6	All Targets	RNA	Endogenous	01	955
PLA2G15	PLA2G15	All Targets	RNA	Endogenous	01	23659
DPF1	DPF1	All Targets	RNA	Endogenous	01	8193
CFAP410	CFAP410	All Targets	RNA	Endogenous	01	755
TNFRSF10C	TNFRSF10C,LOC254896	All Targets	RNA	Endogenous	01	8794
TEX44	TEX44	All Targets	RNA	Endogenous	01	165100
SUN2	SUN2	All Targets	RNA	Endogenous	01	25777
PDE4D	PDE4D	All Targets	RNA	Endogenous	01	5144
PADI3	PADI3	All Targets	RNA	Endogenous	01	51702
ZADH2	ZADH2	All Targets	RNA	Endogenous	01	284273
BDH2	BDH2	All Targets	RNA	Endogenous	01	56898
HIGD2A	HIGD2A	All Targets	RNA	Endogenous	01	192286
PKD1L1	PKD1L1	All Targets	RNA	Endogenous	01	168507
TOPAZ1	TOPAZ1	All Targets	RNA	Endogenous	01	375337
ZSCAN5C	ZSCAN5C	All Targets	RNA	Endogenous	01	649137
EIF4A2	EIF4A2	All Targets	RNA	Endogenous	01	1974
APPBP2	APPBP2	All Targets	RNA	Endogenous	01	10513
PIK3R4	PIK3R4	All Targets	RNA	Endogenous	01	30849
IFNA6	IFNA6	All Targets	RNA	Endogenous	01	3443
AKR1C3	AKR1C3	All Targets	RNA	Endogenous	01	8644
ACTR2	ACTR2	All Targets	RNA	Endogenous	01	10097
USP15	USP15	All Targets	RNA	Endogenous	01	9958
EFHC1	EFHC1	All Targets	RNA	Endogenous	01	114327
IL27	IL27	All Targets	RNA	Endogenous	01	246778
FAM171A2	FAM171A2	All Targets	RNA	Endogenous	01	284069
NACC2	NACC2	All Targets	RNA	Endogenous	01	138151
TSPYL5	TSPYL5	All Targets	RNA	Endogenous	01	85453
HEXA	HEXA	All Targets	RNA	Endogenous	01	3073
TGFBR3L	TGFBR3L	All Targets	RNA	Endogenous	01	100507588
CDH2	CDH2	All Targets	RNA	Endogenous	01	1000
PTCD1	ATP5MF-PTCD1,PTCD1	All Targets	RNA	Endogenous	01	100526740
KLK4	KLK4	All Targets	RNA	Endogenous	01	9622
NELFCD	NELFCD	All Targets	RNA	Endogenous	01	51497
KRTAP5-2	KRTAP5-2	All Targets	RNA	Endogenous	01	440021
C11orf96	C11orf96	All Targets	RNA	Endogenous	01	387763
EIF2S3	EIF2S3	All Targets	RNA	Endogenous	01	1968
PLEKHM3	PLEKHM3	All Targets	RNA	Endogenous	01	389072
RPS6	RPS6	All Targets	RNA	Endogenous	01	6194
NANOGNB	NANOGNB	All Targets	RNA	Endogenous	01	360030
HAND1	HAND1	All Targets	RNA	Endogenous	01	9421
RAP1GAP	RAP1GAP	All Targets	RNA	Endogenous	01	5909
H3-2	H3C14,H3-2,H3P4,H3C13,H3C15	All Targets	RNA	Endogenous	01	126961
VSX2	VSX2	All Targets	RNA	Endogenous	01	338917
SLC13A3	SLC13A3	All Targets	RNA	Endogenous	01	64849
CAPG	CAPG	All Targets	RNA	Endogenous	01	822
PTGES3	PTGES3	All Targets	RNA	Endogenous	01	10728
