segment	CD8Tcell
TMA Slide 1 | 025 | Segment 1	Low
TMA Slide 1 | 028 | Segment 1	Low
TMA Slide 1 | 023 | Segment 1	Low
TMA Slide 1 | 035 | Segment 1	Low
TMA Slide 1 | 032 | Segment 1	Low
TMA Slide 2 | 055 | Segment 1	Low
TMA Slide 1 | 005 | Segment 1	Low
TMA Slide 1 | 034 | Segment 1	Low
TMA Slide 1 | 019 | Segment 1	Low
TMA Slide 2 | 039 | Segment 1	Low
TMA Slide 1 | 011 | Segment 1	Low
TMA Slide 1 | 003 | Segment 1	Low
TMA Slide 1 | 036 | Segment 1	Low
TMA Slide 1 | 029 | Segment 1	Low
TMA Slide 1 | 033 | Segment 1	Low
TMA Slide 1 | 014 | Segment 1	Low
TMA Slide 1 | 013 | Segment 1	Low
TMA Slide 1 | 038 | Segment 2	Low
TMA Slide 2 | 024 | Segment 1	Low
TMA Slide 2 | 043 | Segment 2	Low
TMA Slide 2 | 010 | Segment 1	Low
TMA Slide 1 | 002 | Segment 1	Low
TMA Slide 1 | 004 | Segment 1	Low
TMA Slide 2 | 019 | Segment 1	Low
TMA Slide 1 | 034 | Segment 2	Low
TMA Slide 1 | 039 | Segment 1	Low
TMA Slide 1 | 024 | Segment 1	Low
TMA Slide 2 | 043 | Segment 1	Low
TMA Slide 2 | 038 | Segment 1	Low
TMA Slide 1 | 021 | Segment 1	Low
TMA Slide 2 | 016 | Segment 1	Low
TMA Slide 2 | 009 | Segment 1	Low
TMA Slide 1 | 012 | Segment 1	Low
TMA Slide 2 | 015 | Segment 1	Low
TMA Slide 2 | 058 | Segment 1	Low
TMA Slide 2 | 055 | Segment 2	Low
TMA Slide 2 | 017 | Segment 1	Low
TMA Slide 2 | 018 | Segment 1	Low
TMA Slide 1 | 017 | Segment 1	Low
TMA Slide 1 | 038 | Segment 1	Low
TMA Slide 1 | 035 | Segment 2	Low
TMA Slide 1 | 030 | Segment 1	Low
TMA Slide 1 | 036 | Segment 2	Low
TMA Slide 2 | 042 | Segment 1	Low
TMA Slide 1 | 037 | Segment 1	Low
TMA Slide 1 | 031 | Segment 1	Low
TMA Slide 1 | 016 | Segment 1	Low
TMA Slide 1 | 022 | Segment 1	Low
TMA Slide 2 | 024 | Segment 2	Low
TMA Slide 2 | 015 | Segment 2	Low
TMA Slide 2 | 016 | Segment 2	Low
TMA Slide 1 | 026 | Segment 1	Low
TMA Slide 1 | 015 | Segment 1	Low
TMA Slide 1 | 024 | Segment 2	Low
TMA Slide 1 | 040 | Segment 1	Low
TMA Slide 2 | 020 | Segment 1	Low
TMA Slide 2 | 025 | Segment 1	Low
TMA Slide 1 | 008 | Segment 2	High
TMA Slide 1 | 009 | Segment 2	High
TMA Slide 1 | 006 | Segment 2	High
TMA Slide 1 | 007 | Segment 2	High
TMA Slide 1 | 007 | Segment 1	High
TMA Slide 1 | 031 | Segment 2	High
TMA Slide 1 | 013 | Segment 2	High
TMA Slide 2 | 038 | Segment 2	High
TMA Slide 1 | 020 | Segment 2	High
TMA Slide 1 | 021 | Segment 2	High
TMA Slide 1 | 008 | Segment 1	High
TMA Slide 1 | 003 | Segment 2	High
TMA Slide 2 | 017 | Segment 2	High
TMA Slide 1 | 015 | Segment 2	High
TMA Slide 1 | 016 | Segment 2	High
TMA Slide 1 | 002 | Segment 2	High
TMA Slide 1 | 030 | Segment 2	High
TMA Slide 1 | 033 | Segment 2	High
TMA Slide 1 | 017 | Segment 2	High
TMA Slide 2 | 019 | Segment 2	High
TMA Slide 2 | 042 | Segment 2	High
TMA Slide 1 | 004 | Segment 2	High
TMA Slide 1 | 011 | Segment 2	High
TMA Slide 1 | 019 | Segment 2	High
TMA Slide 2 | 010 | Segment 2	High
TMA Slide 2 | 056 | Segment 2	High
TMA Slide 1 | 039 | Segment 2	High
TMA Slide 2 | 018 | Segment 2	High
TMA Slide 1 | 006 | Segment 1	High
TMA Slide 1 | 014 | Segment 2	High
TMA Slide 2 | 009 | Segment 2	High
TMA Slide 1 | 037 | Segment 2	High
TMA Slide 1 | 018 | Segment 2	High
TMA Slide 1 | 022 | Segment 2	High
TMA Slide 2 | 025 | Segment 2	High
TMA Slide 1 | 027 | Segment 2	High
TMA Slide 1 | 023 | Segment 2	High
TMA Slide 1 | 020 | Segment 1	High
TMA Slide 1 | 040 | Segment 2	High
TMA Slide 1 | 028 | Segment 2	High
TMA Slide 1 | 029 | Segment 2	High
TMA Slide 1 | 009 | Segment 1	High
TMA Slide 1 | 018 | Segment 1	High
TMA Slide 2 | 058 | Segment 2	High
TMA Slide 1 | 010 | Segment 2	High
TMA Slide 1 | 010 | Segment 1	High
TMA Slide 2 | 056 | Segment 1	High
TMA Slide 1 | 012 | Segment 2	High
TMA Slide 1 | 032 | Segment 2	High
TMA Slide 2 | 039 | Segment 2	High
TMA Slide 1 | 025 | Segment 2	High
TMA Slide 1 | 027 | Segment 1	High
TMA Slide 2 | 020 | Segment 2	High
TMA Slide 1 | 005 | Segment 2	High
TMA Slide 1 | 026 | Segment 2	High
