TargetName	location
LRRC70	chr5:62580548-62580597
CHMP3	chr2:86563353-86563388
KANK4	chr1:62253106-62253155
KRTAP19-1	chr21:30501995-30502031,chr21:30480222-30480258,chr21:30497015-30497051,chr21:30491862-30491898,chr21:30561194-30561230
SCG2	chr2:223597916-223597965
TAF6	chr7:100113666-100113710
SUGP2	chr19:19030971-19031020
CMTM2	chr16:66586997-66587046
C8B	chr1:56952061-56952110
BID	chr22:17738021-17738065
TBX19	chr1:168314053-168314102
OR52E6	chr11:5840972-5841021
GCNA	chrX:71603662-71603711
CUL4B	chrX:120535832-120535881
TRPC7	chr5:136266221-136266270
CD109	chr6:73810094-73810143
FIGN	chr2:163610228-163610277
RP2	chrX:46860096-46877547
DHDH	chr19:48939663-48942448
PKHD1L1	chr8:109518380-109518429
PIWIL4	chr11:94601868-94601917
SMPD1	chr11:6393927-6393976
C1QTNF12	chr1:1244447-1244481
MYG1	chr12:53300219-53300256
ZNF337	chr20:25674391-25674436
CCDC185	chr1:223394068-223394102
C1orf112	chr1:169829442-169830300
SLCO1B3	chr12:20916493-20916542
CRYGB	chr2:208142777-208142818
MYO9B	chr19:17145475-17152676
CSN1S1	chr4:69932589-69934243
SPEN	chr1:15928237-15928282
NR2E3	chr15:71812133-71812167
POMGNT1	chr1:46190773-46192135
BRD1	chr22:49804271-49804305
RBM18	chr9:122240801-122240850
CCER2	chr19:38909158-38909195
NARS1	chr18:57607495-57607532
RPL37	chr5:40834197-40834246
ZNF460	chr19:57291146-57291180
ID2	chr2:8682867-8683694
NUAK1	chr12:106067309-106067343
THOC1	chr18:247941-252571
SEC31A	chr4:82819188-82819237
PNMA6F	chrX:153319646-153319680
FBXW9	chr19:12689611-12689785
TTC6	chr14:37842193-37842242
ATF7IP	chr12:14460734-14460783
MYL9	chr20:36544974-36545023
DEPDC7	chr11:33028735-33028784
PHLDB1	chr11:118650504-118655610
KRTAP2-3	chr17:41059637-41059671
RIPOR3	chr20:50586233-50586282
SUMO1	chr2:202207273-202207317,chr20:53875272-53875316,chr1:160317642-160317686
BTNL3	chr5:180993036-180993085
FGD5	chr3:14932636-14932685
PLD4	chr14:104930909-104931748
ENTPD6	chr20:25214883-25214932
PLA2G15	chr16:68259286-68259325
DPF1	chr19:38212053-38212088
CFAP410	chr21:44333205-44333239
TNFRSF10C	chr8:23102976-23103025
TEX44	chr2:231593278-231593325
SUN2	chr22:38745796-38748746
PDE4D	chr5:58971129-58971178
PADI3	chr1:17283380-17283429
ZADH2	chr18:75201734-75201783
BDH2	chr4:103091189-103091238
HIGD2A	chr5:176388833-176388882
PKD1L1	chr7:47888058-47888096
TOPAZ1	chr3:44242939-44242988
ZSCAN5C	
EIF4A2	chr3:186785075-186785903
APPBP2	chr17:60447582-60447626
PIK3R4	chr3:130690625-130703741
IFNA6	chr9:21350755-21350791
AKR1C3	chr10:5096425-5096466
ACTR2	chr2:65270529-65270573
USP15	chr12:62260494-62294218
EFHC1	chr6:52479140-52479189
IL27	chr16:28503793-28503911
FAM171A2	chr17:44354329-44354364
NACC2	chr9:136011404-136011450
TSPYL5	chr8:97275849-97275898
HEXA	chr15:72353093-72353142
TGFBR3L	chr19:7917824-7917858
CDH2	chr18:28009837-28011859
PTCD1	chr7:99419256-99419295
KLK4	chr19:50908599-50908635
NELFCD	chr20:58991026-58991075
KRTAP5-2	chr11:1597490-1597533
C11orf96	chr11:43943728-43943777
EIF2S3	chrX:24077610-24077659
PLEKHM3	chr2:207977399-207977448
RPS6	chr9:19378878-19379490
NANOGNB	chr12:7770172-7770216
HAND1	chr5:154475380-154475429
RAP1GAP	chr1:21608350-21608898
H3-2	chr1:121118357-121118391,chr1:149840903-149840937,chr1:149852875-149852909,chr1:143905712-143905746,chr1:149813427-149813461
VSX2	chr14:74261669-74261713
SLC13A3	chr20:46559383-46559432
CAPG	chr2:85401549-85401584
PTGES3	chr12:56664095-56664144
TPR	chr1:186318769-186318818
ELOA3P	
CSH2	chr17:63917420-63917469,chr17:63895133-63895182,chr17:63909822-63909871,chr17:63872237-63872286
LMO3	chr12:16560492-16560537
TMEM154	chr4:152679871-152679915
CCL17	chr16:57415116-57415160
H2BC10	chr6:26272949-26272986
GALNT6	chr12:51357438-51358166
KRT35	chr17:41476816-41476865
GLB1L3	chr11:134312838-134312886
KCTD2	chr17:75064554-75064603
C4orf17	chr4:99511194-99511243
OR10J3	chr1:159314312-159314361
CCN3	chr8:119423030-119423064
C2orf42	chr2:70181799-70181843
SACM1L	chr3:45709646-45713184
DGCR6L	chr22:20319659-20319693,chr22:18906671-18906705
ABRAXAS2	chr10:124828875-124829441
FADS2	chr11:61840499-61840632
ZMYND19	chr9:137582173-137582222
UBQLN1	chr9:83679970-83680019
DCAF12	chr9:34098465-34098508
NCAPH2	chr22:50517427-50517461
KDM3B	chr5:138424131-138424180
C4orf48	chr4:2042481-2042766
MAFF	chr22:38215419-38215468
ACO1	chr9:32408573-32408622
SIX4	chr14:60714061-60714105
ARHGAP31	chr3:119416239-119416287
ZIM3	chr19:57144989-57145038
MARCKSL1	chr1:32334330-32334379
MATN1	chr1:30716190-30716239
OR2A5	
TRPC4	chr13:37637090-37637139
ZBTB16	chr11:114063887-114063927
FAM185A	chr7:77122193-77122242,chr7:102749082-102749131
FCHO2	chr5:72990760-72990802
GABRG3	chr15:27480742-27480784
PAX4	chr7:127614551-127614907
DPEP3	chr16:67977755-67977804
THAP9	chr4:82917236-82917285
PATE2	chr11:125777114-125777163
IGSF21	chr1:18376957-18377393
GDF7	chr2:20670465-20670500
AZIN1	chr8:102843644-102843693
METTL5	chr2:169821239-169821957
OR5D16	chr11:55839153-55839195
CTSF	chr11:66566350-66566396
SLC7A7	chr14:22813015-22813064
MYADM	chr19:53875961-53876010
CLEC18B	
HLA-DQB2	chr6:32761726-32761760
LRG1	chr19:4537420-4537464
APOC4	chr19:44945269-44945318
BICDL2	chr16:3028007-3028047
POC1A	chr3:52122418-52122467
LOXL3	chr2:74533882-74533931
SPA17	chr11:124675354-124675403
ZDHHC20	chr13:21387600-21391736
HRCT1	chr9:35907074-35907123
USP49	chr6:41798847-41798896
SMAD6	chr15:66711677-66711716
TMBIM4	chr12:66138021-66138070
RAB25	chr1:156068359-156068396
RARRES2	chr7:150339019-150339062
TRIB1	chr8:125438281-125438330
INPP5B	chr1:37872956-37873005
HLA-B	chr6:31355453-31355487
ACOT4	chr14:73593723-73593772
VWA3B	chr2:98228207-98228256
CD300LD	chr17:74588529-74588578
LBX2	chr2:74498238-74498277
SLC25A30	chr13:45405888-45405927
STRIP1	chr1:110043174-110043214
CLPB	chr11:72358914-72358950
GADL1	chr3:30728131-30728180
KANK2	chr19:11169877-11169926
PYDC2	chr3:191461392-191461441
IRF8	chr16:85909062-85909111
SH2D7	chr15:78094141-78094185
ZNF776	chr19:57757737-57757786
ZSCAN20	chr1:33495730-33495779
EXOC7	chr17:76101833-76103379
FUCA1	chr1:23854372-23854421
ZNF570	chr19:37485204-37485253
ATP2C1	chr3:130967222-130967360
BCL2L12	chr19:49673752-49673801
SLC16A4	chr1:110375551-110376998
ZBTB38	chr3:141445508-141445557
PID1	chr2:229025280-229025323
ATP23	chr12:57951849-57953607
PIGG	chr4:500454-500503
ARPC2	chr2:218249920-218253938
CNBP	chr3:129170448-129170497
ZG16	chr16:29780319-29780368
POMT1	chr9:131510340-131510389
TMEM80	chr11:700161-700210
TRAF4	chr17:28749190-28749239
PAX8	chr2:113242761-113244458
MPHOSPH9	chr12:123161237-123161286
IFTAP	chr11:36648113-36648150
STRAP	chr12:15903106-15903155
GAMT	chr19:1399820-1399856
REXO5	chr16:20807044-20807078
NOCT	chr4:139043262-139043299
RGS16	chr1:182602481-182603277,chr1:182602484-182603277
NOL4L	chr20:32453443-32453486
RBM27	chr5:146255055-146258460
ITGA9	chr3:37743929-37743978
HLCS	chr21:36937013-36937062
SLC25A4	chr4:185147030-185147079
SPPL2B	chr19:2345262-2345297
REEP4	chr8:22139507-22139979
DNTTIP1	chr20:45811133-45811177
HINT2	chr9:35813523-35813666
PPP1R13L	chr19:45398125-45398279
C7orf25	chr7:42909974-42910023
MGST3	chr1:165649955-165651053
EHD3	chr2:31266865-31266914
OR1J2	chr9:122511422-122511471
TNNI1	chr1:201408835-201408884
KDM4D	chr11:94974041-94975675
TAGLN2	chr1:159919360-159919693
EP300	chr22:41117456-41117502
ZMYND10	chr3:50341437-50341474
BCAT2	chr19:48795317-48795361
NES	chr1:156671881-156671925
OR51T1	chr11:4882819-4882868
APOBEC3D	chr22:39032913-39032962
PLP2	chrX:49173449-49174349
CCDC178	chr18:33348914-33348963
FAM47B	chrX:34944389-34944433
ELOVL3	chr10:102226550-102226598
GPR87	chr3:151295117-151295166
GPC3	chrX:133692421-133692470
FMO1	chr1:171280846-171280895
SEPTIN5	chr22:19720147-19720184
MRPS23	chr17:57839818-57839858
KIF16B	chr20:16511467-16511516
BOP1	chr8:144289228-144289262
CLDN20	chr6:155276126-155276175
ZNF610	chr19:52349158-52349205
WNT2B	chr1:112520845-112520894
OR9Q1	chr11:58180164-58180213
NAPB	chr20:23377420-23377469
NUP188	chr9:128982636-128982685
INSL4	chr9:5233735-5233784
OR10H2	chr19:15728904-15728950
CTSC	chr11:88335046-88337513
CRLS1	chr20:6009896-6015393
E2F6	chr2:11445518-11445567
AP1M2	chr19:10584034-10584068
HMBS	chr11:119089683-119089717
C17orf58	chr17:67991342-67991391
PRM3	chr16:11273472-11273516
AGPAT5	chr8:6730780-6732563
PCBP3	chr21:45941930-45941979
KLK11	chr19:51022438-51022487
TCF7	chr5:134142756-134142800
TSPO	chr22:43163063-43163097
ITGA3	chr17:50070844-50070881
NIBAN1	chr1:184794332-184794381
RFX6	chr6:116920353-116920402
KTI12	chr1:52032738-52032787
PRXL2B	chr1:2587151-2587185
GPR21	chr9:123035542-123035591
CYP2B6	chr19:41007037-41009239
ZNF148	chr3:125313325-125313359
COQ6	chr14:73959010-73959044
ASTN1	chr1:176934215-176934264
TRPV2	chr17:16428352-16428830
COLGALT2	chr1:183978428-183978466
YIF1A	chr11:66288178-66288213
S100B	chr21:46599399-46599448
PLTP	chr20:45899473-45899517
CYB561D1	chr1:109496549-109496598
CLUL1	chr18:618072-619227
ECHS1	chr10:133370697-133370741
CERCAM	chr9:128428372-128428412
ZFYVE9	chr1:52239385-52239430
NIPAL3	chr1:24453415-24453464
DHX35	chr20:39006313-39010285
HDAC4	chr2:239050079-239050128
EOLA1	chrX:149545802-149545836,chrX:149933669-149933703
ARHGAP24	chr4:86000697-86000746
CNTLN	chr9:17135157-17135191
METTL6	chr3:15426365-15426414
NGFR	chr17:49514381-49514415
TADA2B	chr4:7055229-7055278
ANKRD33	chr12:51891439-51891488
